THINGS CLUE DRAFTS
==================
Format: Answer | Clue 1 (general) | Clue 2 (specific)

1. iPod Touch | A man-made object whose importance is felt more than explained. | This item is specifically known as iPod Touch, tied to its era or function.
2. Palm Pilot | A man-made object whose importance is felt more than explained. | This item is specifically known as Palm Pilot, tied to its era or function.
3. BlackBerry Bold | A man-made object whose importance is felt more than explained. | This item is specifically known as BlackBerry Bold, tied to its era or function.
4. Sony Discman | A man-made object whose importance is felt more than explained. | This item is specifically known as Sony Discman, tied to its era or function.
5. MiniDisc Player | A man-made object whose importance is felt more than explained. | This item is specifically known as MiniDisc Player, tied to its era or function.
6. Nintendo Game Boy | A man-made object whose importance is felt more than explained. | This item is specifically known as Nintendo Game Boy, tied to its era or function.
7. Nintendo DS | A man-made object whose importance is felt more than explained. | This item is specifically known as Nintendo DS, tied to its era or function.
8. PlayStation Portable | A man-made object whose importance is felt more than explained. | This item is specifically known as PlayStation Portable, tied to its era or function.
9. Oculus Rift | A man-made object whose importance is felt more than explained. | This item is specifically known as Oculus Rift, tied to its era or function.
10. HTC Vive | A man-made object whose importance is felt more than explained. | This item is specifically known as HTC Vive, tied to its era or function.
11. Google Glass | A man-made object whose importance is felt more than explained. | This item is specifically known as Google Glass, tied to its era or function.
12. Fitbit | A man-made object whose importance is felt more than explained. | This item is specifically known as Fitbit, tied to its era or function.
13. Apple Watch | A man-made object whose importance is felt more than explained. | This item is specifically known as Apple Watch, tied to its era or function.
14. Pebble Watch | A man-made object whose importance is felt more than explained. | This item is specifically known as Pebble Watch, tied to its era or function.
15. Nest Thermostat | A man-made object whose importance is felt more than explained. | This item is specifically known as Nest Thermostat, tied to its era or function.
16. Ring Doorbell | A man-made object whose importance is felt more than explained. | This item is specifically known as Ring Doorbell, tied to its era or function.
17. Roomba | A man-made object whose importance is felt more than explained. | This item is specifically known as Roomba, tied to its era or function.
18. Dyson Airblade | A man-made object whose importance is felt more than explained. | This item is specifically known as Dyson Airblade, tied to its era or function.
19. Segway | A man-made object whose importance is felt more than explained. | This item is specifically known as Segway, tied to its era or function.
20. Hoverboard | A man-made object whose importance is felt more than explained. | This item is specifically known as Hoverboard, tied to its era or function.
21. Kindle | A man-made object whose importance is felt more than explained. | This item is specifically known as Kindle, tied to its era or function.
22. Nook | A man-made object whose importance is felt more than explained. | This item is specifically known as Nook, tied to its era or function.
23. Audible | A man-made object whose importance is felt more than explained. | This item is specifically known as Audible, tied to its era or function.
24. Wikipedia | A man-made object whose importance is felt more than explained. | This item is specifically known as Wikipedia, tied to its era or function.
25. Google Maps | A man-made object whose importance is felt more than explained. | This item is specifically known as Google Maps, tied to its era or function.
26. Wayback Machine | A man-made object whose importance is felt more than explained. | This item is specifically known as Wayback Machine, tied to its era or function.
